                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3232,                 3.9637,                 1.9436,                0.85955,                0.25556,                 0.2334,                0.13022,                 1.8498,                 3.0261,                  1.696,             0.00034296,             0.00034296,             0.00034296
                      2,                 1.6655,                 3.2946,                 1.3808,                0.75808,                0.24444,                0.21525,                0.14063,                  1.705,                 3.2283,                 1.6045,             0.00068635,             0.00068635,             0.00068635
                      3,                 1.3727,                 2.6933,                 1.2361,                0.94574,                0.21111,                0.23323,                0.17565,                 1.4847,                  2.308,                 1.3176,              0.0010156,              0.0010156,              0.0010156
                      4,                  1.371,                 2.5747,                 1.2408,                0.74587,                 0.3619,                0.34311,                0.19179,                 1.5615,                 2.1522,                 1.5001,              0.0013307,              0.0013307,              0.0013307
                      5,                 1.3494,                 2.1922,                 1.1912,                 0.9452,                0.21111,                0.30736,                0.17716,                 1.8819,                 2.3182,                 1.5925,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3416,                 2.0615,                 1.2657,                0.77776,                0.35079,                 0.6949,                0.38608,                 1.7136,                 3.4831,                 1.4833,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2485,                 1.9569,                 1.2221,                0.97047,                0.24444,                0.43135,                0.30484,                 1.4497,                 2.4808,                 1.7497,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3228,                 1.9613,                 1.2324,                0.83874,                0.32488,                0.44151,                0.28463,                 1.3772,                 2.1345,                 1.6188,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2131,                 1.7452,                 1.1638,                0.46432,                0.73175,                 0.7617,                0.48782,                 1.3816,                 1.7831,                 1.5524,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1934,                 1.6878,                 1.1571,                0.80706,                 0.6619,                0.79029,                0.51697,                 1.3779,                  2.006,                 1.4203,              0.0011744,              0.0011744,              0.0011744
                     11,                  1.147,                 1.5972,                 1.1229,                0.81513,                0.72158,                0.81039,                0.51858,                 1.2764,                 1.7616,                   1.33,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1487,                 1.5705,                  1.121,                0.83278,                0.69184,                0.80771,                  0.566,                 1.1233,                  1.419,                 1.3374,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1086,                 1.5201,                 1.1546,                0.95165,                0.68387,                0.75529,                0.50348,                 1.1791,                 1.4599,                 1.3564,              0.0010895,              0.0010895,              0.0010895
                     14,                  1.165,                 1.6084,                 1.1862,                0.76111,                0.80374,                0.81736,                0.51952,                 1.1987,                   1.34,                  1.317,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0865,                 1.3922,                 1.1065,                0.95522,                0.66018,                0.81211,                0.59442,                 1.1895,                 1.2612,                 1.3417,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.0221,                 1.2834,                 1.0938,                0.78553,                0.76438,                0.82053,                0.51099,                 1.2941,                  1.721,                 1.2999,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1157,                 1.4143,                 1.1257,                0.90956,                0.67287,                0.80455,                0.56169,                 1.1805,                 1.4168,                 1.3487,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1893,                 1.3956,                  1.203,                0.88156,                0.66684,                0.79231,                0.57922,                 1.1905,                 1.5295,                 1.3438,               0.000948,               0.000948,               0.000948
                     19,                 1.1233,                 1.3138,                 1.0789,                0.71202,                0.65736,                0.77676,                0.49827,                 1.1448,                 1.8571,                 1.2972,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1405,                 1.3986,                  1.113,                0.71917,                0.80129,                0.82727,                0.51417,                 1.2095,                  1.412,                 1.2741,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.0342,                 1.2498,                 1.0732,                0.73903,                0.72063,                0.79403,                0.60064,                 1.0435,                 1.3957,                 1.1742,             0.00086312,             0.00086312,             0.00086312
                     22,                0.99189,                 1.2574,                 1.0552,                0.95453,                0.67425,                0.77753,                0.56675,                0.99584,                 1.0892,                 1.2426,             0.00083482,             0.00083482,             0.00083482
                     23,                0.97996,                  1.192,                 1.0646,                0.83383,                0.71549,                0.80832,                0.54547,                 1.0897,                 1.1641,                 1.3472,             0.00080653,             0.00080653,             0.00080653
                     24,                0.95644,                 1.1613,                 1.0387,                 0.9669,                 0.6807,                0.78383,                0.55133,                 1.1705,                 1.2978,                 1.3788,             0.00077823,             0.00077823,             0.00077823
                     25,                0.90222,                 1.0837,                 1.0125,                0.97166,                0.67721,                0.81041,                0.55251,                 1.0553,                 1.0568,                 1.2603,             0.00074994,             0.00074994,             0.00074994
                     26,                0.90806,                 1.0915,                 1.0292,                0.92282,                0.65275,                0.83612,                0.57735,                0.97743,                 1.0693,                 1.2064,             0.00072164,             0.00072164,             0.00072164
                     27,                0.91522,                 1.0704,                 1.0112,                0.88788,                0.66578,                0.79121,                0.54111,                0.89672,                0.99342,                 1.1343,             0.00069335,             0.00069335,             0.00069335
                     28,                0.88335,                 1.0156,                0.99308,                0.86989,                0.67302,                0.77072,                0.60447,                0.87565,                0.99926,                 1.1442,             0.00066506,             0.00066506,             0.00066506
                     29,                0.89805,                  1.045,                 1.0085,                 0.9626,                0.68004,                0.78868,                0.61923,                0.80589,                0.80956,                 1.0882,             0.00063676,             0.00063676,             0.00063676
                     30,                0.88678,                 1.0318,                 1.0219,                0.63643,                0.82234,                0.85386,                0.56481,                0.95054,                0.85697,                 1.1106,             0.00060847,             0.00060847,             0.00060847
                     31,                0.82448,                0.95869,                0.98164,                0.78736,                0.76381,                0.83592,                0.64074,                0.90857,                 0.8492,                 1.1198,             0.00058017,             0.00058017,             0.00058017
                     32,                0.80628,                0.95725,                0.98765,                0.88407,                0.73579,                0.85947,                0.63032,                0.83338,                0.92312,                 1.1502,             0.00055188,             0.00055188,             0.00055188
                     33,                0.82891,                0.94714,                0.99649,                0.85035,                0.73826,                0.84307,                0.60096,                0.96915,                 1.0249,                 1.2662,             0.00052359,             0.00052359,             0.00052359
                     34,                 0.8136,                0.97497,                0.98002,                0.87083,                0.77365,                 0.8347,                0.62137,                0.90901,                 1.0417,                 1.3246,             0.00049529,             0.00049529,             0.00049529
                     35,                0.86462,                0.93548,                 0.9896,                0.90671,                0.75557,                0.84987,                0.64031,                0.89528,                 1.0285,                 1.2165,               0.000467,               0.000467,               0.000467
                     36,                0.80932,                0.95529,                0.99781,                0.85769,                0.76621,                0.85751,                 0.6714,                0.85162,                0.94908,                 1.2334,              0.0004387,              0.0004387,              0.0004387
                     37,                0.86321,                0.90917,                 1.0078,                0.83301,                0.78153,                 0.8482,                0.68011,                0.84757,                 1.1518,                 1.2439,             0.00041041,             0.00041041,             0.00041041
                     38,                0.75987,                0.84776,                0.97434,                0.89375,                 0.7866,                0.83945,                0.64912,                0.85673,                 1.1044,                 1.2075,             0.00038211,             0.00038211,             0.00038211
                     39,                0.78056,                0.86922,                  0.988,                0.91161,                0.78959,                0.83484,                0.64926,                0.74743,                0.97448,                 1.1235,             0.00035382,             0.00035382,             0.00035382
                     40,                0.73335,                0.98196,                 0.9368,                0.92027,                0.78927,                0.83705,                0.65908,                0.74926,                0.90569,                 1.1152,             0.00032553,             0.00032553,             0.00032553
                     41,                0.85245,                 0.9984,                0.99336,                0.90534,                0.77937,                0.84441,                 0.6428,                0.82572,                0.95149,                 1.1235,             0.00029723,             0.00029723,             0.00029723
                     42,                0.80809,                 1.0083,                 1.0131,                0.89557,                0.76338,                0.85125,                0.66638,                0.76449,                0.99587,                 1.1121,             0.00026894,             0.00026894,             0.00026894
                     43,                  0.758,                 1.0031,                0.98531,                0.85733,                0.80641,                0.85911,                0.70876,                0.77013,                0.81186,                 1.0922,             0.00024064,             0.00024064,             0.00024064
                     44,                 0.7458,                0.93914,                 0.9663,                0.89201,                0.79614,                0.85518,                0.69318,                0.76363,                0.73663,                 1.0793,             0.00021235,             0.00021235,             0.00021235
                     45,                0.72327,                0.88469,                0.97088,                0.90619,                0.77322,                0.85493,                0.68398,                 0.7543,                0.70879,                 1.0575,             0.00018406,             0.00018406,             0.00018406
                     46,                0.73227,                0.90283,                 0.9601,                 0.8683,                0.80228,                0.86158,                0.69398,                 0.7843,                0.77136,                 1.0813,             0.00015576,             0.00015576,             0.00015576
                     47,                0.72126,                0.85357,                0.97202,                0.85011,                0.77736,                0.84375,                0.64781,                0.79173,                 1.0305,                 1.1427,             0.00012747,             0.00012747,             0.00012747
                     48,                0.66076,                0.80593,                0.94422,                0.85969,                0.77954,                0.86456,                 0.6696,                 0.7329,                0.83525,                 1.0696,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.65957,                0.79549,                0.94889,                 0.8701,                0.78535,                0.86738,                0.66577,                0.69888,                0.68589,                 1.0295,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.64919,                0.81425,                0.93775,                0.85565,                0.80882,                0.86777,                0.69966,                0.69617,                0.64186,                 1.0202,             4.2584e-05,             4.2584e-05,             4.2584e-05
